kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_depth
Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,1.74319,14231.0
Kepler-10 b,CONFIRMED,CANDIDATE,0.837491225,1.796,190.4
Kepler-10 c,CONFIRMED,CANDIDATE,45.29422297,6.83,477.1
Kepler-100 b,CONFIRMED,CANDIDATE,6.88707073,4.4679,68.7
Kepler-100 c,CONFIRMED,CANDIDATE,12.81590421,6.3856,220.5
Kepler-100 d,CONFIRMED,CANDIDATE,35.3331932,5.966,99.7
Kepler-1000 b,CONFIRMED,CANDIDATE,120.0183551,11.637,886.0
Kepler-1001 b,CONFIRMED,CANDIDATE,14.30517579,4.535,863.4
Kepler-1001 c,CONFIRMED,CANDIDATE,9.18189122,4.343,363.6
Kepler-1002 b,CONFIRMED,CANDIDATE,4.33643506,4.1445,108.5
Kepler-1003 b,CONFIRMED,CANDIDATE,3.554856338,2.1004,232.9
Kepler-1004 b,CONFIRMED,CANDIDATE,5.28790754,8.5274,343.9
Kepler-1005 b,CONFIRMED,CANDIDATE,6.4980147,2.4384,190.9
Kepler-1006 b,CONFIRMED,CANDIDATE,19.76169247,3.9097,392.5
Kepler-1007 b,CONFIRMED,CANDIDATE,5.18498961,2.1397,430.1
Kepler-1008 b,CONFIRMED,CANDIDATE,12.43929428,3.176,254.3
Kepler-1009 b,CONFIRMED,CANDIDATE,11.35010642,2.2792,1221.0
Kepler-101 b,CONFIRMED,CANDIDATE,3.487688776,3.83661,1298.8
Kepler-101 c,CONFIRMED,CANDIDATE,6.02977241,3.961,54.6
Kepler-1010 b,CONFIRMED,CANDIDATE,34.2685741,4.8251,699.3
Kepler-1011 b,CONFIRMED,CANDIDATE,5.75321539,1.7948,733.8
Kepler-1012 b,CONFIRMED,CANDIDATE,5.50860699,3.0788,203.9
Kepler-1013 b,CONFIRMED,CANDIDATE,18.93055119,3.372,684.0
Kepler-1014 b,CONFIRMED,CANDIDATE,16.57099265,2.9052,644.9
Kepler-1015 b,CONFIRMED,CANDIDATE,16.00496657,6.5047,377.5
Kepler-1016 b,CONFIRMED,CANDIDATE,1.954525966,2.0944,392.8
Kepler-1016 c,CONFIRMED,CANDIDATE,105.6552651,9.39,1366.9
Kepler-1017 b,CONFIRMED,CANDIDATE,7.23400381,2.165,453.3
Kepler-1018 b,CONFIRMED,CANDIDATE,49.1011093,6.341,845.6
Kepler-1019 b,CONFIRMED,CANDIDATE,1.411230023,1.4325,388.2
Kepler-102 b,CONFIRMED,CANDIDATE,5.28691996,2.579,41.5
Kepler-102 c,CONFIRMED,CANDIDATE,7.07136119,2.757,65.7
Kepler-102 d,CONFIRMED,CANDIDATE,10.31174786,3.1818,275.9
Kepler-102 e,CONFIRMED,CANDIDATE,16.145671932,3.7236,941.1
Kepler-102 f,CONFIRMED,CANDIDATE,27.4536146,3.747,136.4
Kepler-1020 b,CONFIRMED,CANDIDATE,96.9151707,6.065,862.8
Kepler-1021 b,CONFIRMED,CANDIDATE,13.47472742,2.5995,729.6
Kepler-1022 b,CONFIRMED,CANDIDATE,10.99470891,1.5929,884.7
Kepler-1023 b,CONFIRMED,CANDIDATE,62.1385979,4.2938,886.3
Kepler-1024 b,CONFIRMED,CANDIDATE,66.4159789,7.061,2053.2
Kepler-1026 b,CONFIRMED,CANDIDATE,36.5157639,3.6577,861.3
Kepler-1027 b,CONFIRMED,CANDIDATE,1.907810683,1.8707,120.5
Kepler-1028 b,CONFIRMED,CANDIDATE,2.514628496,1.6239,228.4
Kepler-1029 b,CONFIRMED,CANDIDATE,4.417692516,2.323,279.2
Kepler-103 b,CONFIRMED,CANDIDATE,15.96532718,4.5837,482.2
Kepler-103 c,CONFIRMED,CANDIDATE,179.609803,13.755,1273.0
